4,3,kindle2,tpryan,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
4,4,kindle2,vcu451,Reading my kindle2...  Love it... Lee childs is good read.
4,5,kindle2,chadfu,"Ok, first assesment of the #kindle2 ...it rocks!!!"
4,6,kindle2,SIX15,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
4,7,kindle2,yamarama,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
4,8,kindle2,GeorgeVHulme,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
0,9,aig,Seth937, this economy. I hate aig and their non loan given asses.
4,10,jquery,dcostalis,Jquery is my new best friend.
4,11,twitter,PJ_King,Loves twitter
4,12,obama,mandanicole,how can you not love Obama? he makes jokes about himself.
2,13,obama,jpeb,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
0,14,obama,kylesellers,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
4,15,obama,theviewfans,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
4,16,nike,MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..It was hilarious...LMAO!!!
0,17,nike,vincentx24x,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
4,18,lebron,cameronwylie,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
0,19,lebron,luv8242,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
4,20,lebron,mtgillikin,i love lebron. http://bit.ly/PdHur
0,21,lebron,ursecretdezire,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,22,lebron,Native_01,@Pmillzz lebron IS THE BOSS
4,23,lebron,princezzcutz,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
4,24,lebron,peterlikewhat,lebron and zydrunas are such an awesome duo
4,25,lebron,emceet,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
